CRS Subject,CRS Course Number,Academic Year,Academic Term,# of Sections,Number Enrolled,Enrollment Ratio,Ratio Pred. from Lin. Reg. Using All Data,Ratio Pred. from Lin. Reg. Using 3 Rcnt. Yrs.,Ratio Pred. from Avg. Using All Data,Ratio Pred. from Avg. Using 3 Rcnt. Yrs.,Ratio Pred. from Avg. Using Most Rcnt. Yr.
,4410,2012-2013,Spring,1,8,0.002,0,0,0,0,0
,,2013-2014,Spring,3,15,0.004,0,0,0,0,0
,,2014-2015,Spring,1,11,0.003,0,0,0,0,0
,,2015-2016,Spring,2,16,0.004,0,0,0,0,0
,,2016-2017,Spring,2,14,0.004,0,0,0,0,0
,,2017-2018,Spring,2,9,0.002,0,0,0,0,0
,,2018-2019,Spring,2,13,0.004,0,0,0,0,0
,,2019-2020,Spring,2,27,0.008,0.004,0.003,0.003,0.003,0.004
,4501,2021-2022,Fall,1,17,0.005,0,0,0,0,0
,,2023-2024,Fall,1,8,0.002,-1,-1,-1,-1,-1
,4502,2021-2022,Spring,1,15,0.005,0,0,0,0,0
,,2023-2024,Spring,1,8,0.003,-1,-1,-1,-1,-1
,4502H,2021-2022,Spring,1,1,0,-1,-1,-1,-1,-1
,4801,2021-2022,Fall,1,17,0.005,0,0,0,0,0
,,2023-2024,Fall,1,8,0.002,-1,-1,-1,-1,-1
,4802,2021-2022,Spring,1,9,0.003,0,0,0,0,0
,,2023-2024,Spring,1,8,0.003,-1,-1,-1,-1,-1
ALLH,1110,2012-2013,Spring,1,83,0.019,0,0,0,0,0
,,2013-2014,Spring,1,87,0.022,0,0,0,0,0
,,2014-2015,Spring,1,89,0.024,-1,-1,-1,-1,-1
,1150,2016-2017,Fall,1,20,0.005,-1,-1,-1,-1,-1
,2110,2012-2013,Fall,2,110,0.023,0,0,0,0,0
,,2013-2014,Fall,2,105,0.024,0,0,0,0,0
,,2014-2015,Fall,1,79,0.019,0,0,0,0,0
,,2015-2016,Fall,1,71,0.017,0.018,0.018,0.022,0.022,0.019
,2210,2012-2013,Spring,2,106,0.025,0,0,0,0,0
,,2013-2014,Spring,2,97,0.024,0,0,0,0,0
,,2014-2015,Spring,1,68,0.018,0,0,0,0,0
